,uid,fips,country,state,county,lat,long,pop19,region,dispID,date,date_lag,Rt_plot,Rt_upr,Rt_lwr,Rt_loess_fit,Rt_loess_lwr,Rt_loess_upr,positiveIncrease,positive,positive_7day,positive_percapita,positiveIncr_percapita,deathIncrease,death,death_percapita,deathIncr_percapita
3313,84004021,4021,US,Arizona,Pinal,32.90525627,-111.3449483,462789,AZ,"Pinal, Arizona",8/8/2020,8/3/2020,0.345175309,0.393279208,0.300169251,0.741019898,0.657883098,0.8241566990000001,29,8356,29.0,18055.74463,62.66354645,-1,156,337.08666370000003,-2.160811947
1199,84005031,5031,US,Arkansas,Craighead,35.83018283,-90.63235729,110332,AR,"Craighead, Arkansas",8/8/2020,8/3/2020,1.22164325,1.383409559,1.069805915,0.9864341879999999,0.890826187,1.082042189,18,1336,33.14285714,12108.907659999999,163.1439655,0,12,108.7626437,0.0
2256,84006029,6029,US,California,Kern,35.34329425,-118.72777959999999,900202,CA,"Kern, California",8/8/2020,8/3/2020,0.642809822,0.667077765,0.618985466,1.041995417,0.9265996609999999,1.157391173,617,22626,392.0,25134.35873,685.4017209,11,171,189.95736509999998,12.21947963
3766,84006071,6071,US,California,San Bernardino,34.84060306,-116.1774685,2180085,CA,"San Bernardino, California",8/8/2020,8/3/2020,0.683892828,0.7096550140000001,0.658600525,0.986057229,0.886738047,1.08537641,513,35452,393.7142857,16261.75126,235.3119259,5,502,230.2662511,2.293488557
4068,84006099,6099,US,California,Stanislaus,37.55862499,-120.9970722,550660,CA,"Stanislaus, California",8/8/2020,8/3/2020,0.69842493,0.7520057659999999,0.646798141,1.130405042,0.970468613,1.290341472,158,9566,96.57142857,17371.881019999997,286.92841319999997,10,161,292.376421,18.16002615
1501,84008031,8031,US,Colorado,DENVER,39.76018276,-104.87256950000001,727211,CO,"Denver, Colorado",8/8/2020,8/3/2020,0.858401515,0.936790063,0.783393075,0.908489518,0.8407906009999999,0.976188435,51,10173,68.57142857,13989.062319999999,70.13095236,0,414,569.2983192,0.0
4823,84009003,9003,US,Connecticut,Windham,41.82972709,-71.98182316,116782,CT,"Hartford, Connecticut",8/8/2020,8/3/2020,0.507330383,0.603293662,0.41957605,0.889332225,0.795717845,0.9829466040000001,0,12761,16.57142857,14310.545909999999,0.0,0,1415,1586.820975,0.0
3162,84012095,12095,US,Florida,Orange,28.51367621,-81.31799498,1393452,FL,"Orange, Florida",8/8/2020,8/3/2020,0.738999339,0.772330078,0.706393905,0.760920794,0.65764694,0.864194647,369,31395,275.57142860000005,22530.3778,264.8099827,10,297,213.13974219999997,7.176422295
2105,84013153,13153,US,Georgia,Houston,32.45802497,-83.66879087,157863,GA,"Houston, Georgia",8/8/2020,8/3/2020,0.797237964,0.9105790770000001,0.691333682,0.958741526,0.897601623,1.019881429,50,1948,28.85714286,12339.81364,316.7303295,4,58,367.40718219999997,25.33842636
1048,84017031,17031,US,Illinois,Cook,41.84144849,-87.81658794,5150233,IL,"Cook, Illinois",8/8/2020,8/3/2020,1.114167712,1.146125002,1.0826561540000001,1.08603941,0.990212932,1.181865889,863,110865,676.2857142999999,21526.21056,167.5652344,4,4924,956.0732495,0.776663891
