,uid,fips,country,state,county,lat,long,pop19,region,dispID,date,date_lag,Rt_plot,Rt_upr,Rt_lwr,Rt_loess_fit,Rt_loess_lwr,Rt_loess_upr,positiveIncrease,positive,positive_7day,positive_percapita,positiveIncr_percapita,deathIncrease,death,death_percapita,deathIncr_percapita
2861,84037119,37119,US,North Carolina,Mecklenburg,35.24469268,-80.8317671,1110356,NC,"Mecklenburg, North Carolina",8/9/2020,8/4/2020,0.8923963770000001,0.939880458,0.8461266540000001,0.825828426,0.718959382,0.9326974690000001,189,22255,198.71428569999998,20043.12131,170.2156786,2,228,205.33954880000002,1.8012241119999999
4220,84039151,39151,US,Ohio,Stark,40.81482476,-81.36437305,370606,OH,"Stark, Ohio",8/9/2020,8/4/2020,0.978207872,1.141398126,0.8274480120000001,1.044191595,0.98947445,1.09890874,14,1827,21.14285714,4929.7636840000005,37.77596693,0,139,375.06138589999995,0.0
4673,84039153,39153,US,Ohio,Wayne,40.82925852,-81.88844833,115710,OH,"Summit, Ohio",8/9/2020,8/4/2020,0.975249246,1.087131765,0.8693634440000001,0.972093995,0.8866241690000001,1.05756382,32,3555,43.85714286,6571.006612,59.14830143,0,222,410.3413412,0.0
2710,84042069,42069,US,Pennsylvania,Lycoming,41.34310539,-77.06629984,113299,PA,"Lackawanna, Pennsylvania",8/9/2020,8/4/2020,-88.0,,,,,,5,1932,4.571428571,9214.30411,23.84654273,0,212,1011.093412,0.0
4975,84042133,42133,US,Pennsylvania,York,39.9210089,-76.73040131,449058,PA,"York, Pennsylvania",8/9/2020,8/4/2020,1.315246405,1.483902949,1.156633231,1.141852405,1.051827941,1.2318768690000002,71,2572,35.28571429,5727.545217,158.1087521,0,93,207.10019640000002,0.0
1804,84001089,1089,US,Tennessee,Giles,35.20222469,-87.03992678,29464,TN,"Madison, Alabama",8/9/2020,8/4/2020,0.734615523,0.804259644,0.668084071,0.7608905140000001,0.659180651,0.862600378,64,5378,63.71428571,14421.74901,171.6236401,1,34,91.17505879,2.681619376
2408,84001089,1089,US,Tennessee,Lincoln,35.13738622,-86.58910106,34366,TN,"Madison, Alabama",8/9/2020,8/4/2020,0.734615523,0.804259644,0.668084071,0.7608905140000001,0.659180651,0.862600378,64,5378,63.71428571,14421.74901,171.6236401,1,34,91.17505879,2.681619376
143,84048029,48029,US,Texas,Bexar,29.44928723,-98.52019748,2003554,TX,"Bexar, Texas",8/9/2020,8/4/2020,0.515471776,0.54024648,0.491270762,0.6165565789999999,0.505288655,0.7278245040000001,252,42783,243.0,21353.55473,125.7764952,9,782,390.3064255,4.492017685
1351,84048113,48113,US,Texas,Dallas,32.76670599,-96.77796049999999,2635516,TX,"Dallas, Texas",8/9/2020,8/4/2020,0.881081109,0.910228632,0.8524014879999999,0.952416679,0.851402214,1.0534311440000002,843,54674,509.42857139999995,20745.0837,319.8614617,4,755,286.47141580000005,1.517729355
1653,84048157,48157,US,Texas,Fort Bend,29.52704478,-95.77219463,811688,TX,"Fort Bend, Texas",8/9/2020,8/4/2020,1.617961335,1.6826246969999998,1.5545479009999998,1.289260873,1.147118439,1.431403306,0,9533,350.14285710000007,11744.66051,0.0,1,162,199.58407659999997,1.232000473
4371,84048439,48439,US,Texas,Tarrant,32.77143818,-97.29101614,2102515,TX,"Tarrant, Texas",8/9/2020,8/4/2020,0.8294875829999999,0.861462235,0.798109462,0.92737706,0.8246915159999999,1.030062604,765,31687,376.14285710000007,15070.9983,363.84996060000003,2,447,212.60252599999998,0.951241727
3616,84049035,49035,US,Utah,Salt Lake,40.66616532,-111.92160109999999,1160437,UT,"Salt Lake, Utah",8/9/2020,8/4/2020,0.9279728829999999,0.9807395240000001,0.87664585,0.8891379779999999,0.837054318,0.941221637,182,20628,174.28571430000002,17776.06195,156.83746730000001,0,189,162.8696775,0.0
596,84051003,51003,US,Virginia,Campbell,37.20553386,-79.09678609,54885,VA,"Albemarle, Virginia",8/9/2020,8/4/2020,1.1000859840000001,1.352249119,0.873627064,1.167098171,1.025571101,1.30862524,5,838,11.42857143,7664.8678310000005,45.73310162,0,16,146.34592519999998,0.0
747,84053011,53011,US,Washington,Clark,45.77568046,-122.48292040000001,488241,WA,"Clark, Washington",8/9/2020,8/4/2020,0.639906347,0.7402251209999999,0.546799826,0.9839004729999999,0.702546373,1.2652545720000001,10,1777,23.85714286,3639.5960189999996,20.48168835,0,43,88.07125989,0.0
3465,84055025,55025,US,Wisconsin,Rock,42.67151616,-89.07147900000001,163354,WI,"Dane, Wisconsin",8/9/2020,8/4/2020,0.925728742,1.026833563,0.829795724,0.903928493,0.772504138,1.035352848,44,4536,48.28571429,8297.130941,80.48363347,1,39,71.33776603,1.8291734880000001
