,COUNTY,CASE_STATUS,Cases,Deaths,Updated
88,Lapeer,Confirmed,387,32,2020-08-08 13:32:53.887
89,Lapeer,Probable,77,1,2020-08-08 13:32:53.887
90,Leelanau,Confirmed,67,0,2020-08-08 13:32:53.887
91,Leelanau,Probable,4,0,2020-08-08 13:32:53.887
92,Lenawee,Confirmed,383,12,2020-08-08 13:32:53.887
93,Lenawee,Probable,39,0,2020-08-08 13:32:53.887
94,Livingston,Confirmed,684,27,2020-08-08 13:32:53.887
95,Livingston,Probable,142,1,2020-08-08 13:32:53.887
96,Luce,Confirmed,3,0,2020-08-08 13:32:53.887
97,MDOC,Confirmed,4381,69,2020-08-08 13:32:53.887
98,MDOC,Probable,5,0,2020-08-08 13:32:53.887
99,Mackinac,Confirmed,21,0,2020-08-08 13:32:53.887
100,Mackinac,Probable,6,0,2020-08-08 13:32:53.887
101,Macomb,Confirmed,9976,908,2020-08-08 13:32:53.887
102,Macomb,Probable,363,38,2020-08-08 13:32:53.887
103,Manistee,Confirmed,34,0,2020-08-08 13:32:53.887
104,Manistee,Probable,1,0,2020-08-08 13:32:53.887
105,Marquette,Confirmed,141,11,2020-08-08 13:32:53.887
106,Marquette,Probable,12,0,2020-08-08 13:32:53.887
107,Mason,Confirmed,90,0,2020-08-08 13:32:53.887
108,Mason,Probable,11,0,2020-08-08 13:32:53.887
109,Mecosta,Confirmed,62,2,2020-08-08 13:32:53.887
110,Mecosta,Probable,6,0,2020-08-08 13:32:53.887
111,Menominee,Confirmed,117,0,2020-08-08 13:32:53.887
112,Menominee,Probable,14,0,2020-08-08 13:32:53.887
113,Midland,Confirmed,254,10,2020-08-08 13:32:53.887
114,Midland,Probable,76,0,2020-08-08 13:32:53.887
115,Missaukee,Confirmed,27,1,2020-08-08 13:32:53.887
116,Missaukee,Probable,14,0,2020-08-08 13:32:53.887
117,Monroe,Confirmed,853,22,2020-08-08 13:32:53.887
118,Monroe,Probable,119,2,2020-08-08 13:32:53.887
119,Montcalm,Confirmed,168,1,2020-08-08 13:32:53.887
120,Montcalm,Probable,20,0,2020-08-08 13:32:53.887
121,Montmorency,Confirmed,7,0,2020-08-08 13:32:53.887
122,Montmorency,Probable,2,1,2020-08-08 13:32:53.887
123,Muskegon,Confirmed,1123,59,2020-08-08 13:32:53.887
124,Muskegon,Probable,47,0,2020-08-08 13:32:53.887
125,Newaygo,Confirmed,241,0,2020-08-08 13:32:53.887
126,Newaygo,Probable,9,0,2020-08-08 13:32:53.887
127,Oakland,Confirmed,12160,1086,2020-08-08 13:32:53.887
128,Oakland,Probable,3267,43,2020-08-08 13:32:53.887
129,Oceana,Confirmed,453,6,2020-08-08 13:32:53.887
130,Oceana,Probable,22,0,2020-08-08 13:32:53.887
131,Ogemaw,Confirmed,40,2,2020-08-08 13:32:53.887
132,Ogemaw,Probable,14,0,2020-08-08 13:32:53.887
133,Ontonagon,Confirmed,10,0,2020-08-08 13:32:53.887
134,Ontonagon,Probable,1,0,2020-08-08 13:32:53.887
135,Osceola,Confirmed,64,0,2020-08-08 13:32:53.887
136,Osceola,Probable,7,0,2020-08-08 13:32:53.887
137,Oscoda,Confirmed,18,1,2020-08-08 13:32:53.887
138,Oscoda,Probable,6,0,2020-08-08 13:32:53.887
139,Otsego,Confirmed,114,10,2020-08-08 13:32:53.887
140,Otsego,Probable,20,0,2020-08-08 13:32:53.887
141,Ottawa,Confirmed,1695,51,2020-08-08 13:32:53.887
142,Ottawa,Probable,105,5,2020-08-08 13:32:53.887
143,Out-of-State,Confirmed,77,0,2020-08-08 13:32:53.887
144,Out-of-State,Probable,2,1,2020-08-08 13:32:53.887
145,Presque Isle,Confirmed,18,1,2020-08-08 13:32:53.887
146,Presque Isle,Probable,2,0,2020-08-08 13:32:53.887
147,Roscommon,Confirmed,47,0,2020-08-08 13:32:53.887
148,Roscommon,Probable,6,0,2020-08-08 13:32:53.887
149,Saginaw,Confirmed,1871,128,2020-08-08 13:32:53.887
150,Saginaw,Probable,115,3,2020-08-08 13:32:53.887
151,Sanilac,Confirmed,101,5,2020-08-08 13:32:53.887
152,Sanilac,Probable,5,1,2020-08-08 13:32:53.887
153,Schoolcraft,Confirmed,12,0,2020-08-08 13:32:53.887
154,Schoolcraft,Probable,1,0,2020-08-08 13:32:53.887
155,Shiawassee,Confirmed,314,27,2020-08-08 13:32:53.887
156,Shiawassee,Probable,26,1,2020-08-08 13:32:53.887
157,St Clair,Confirmed,684,52,2020-08-08 13:32:53.887
158,St Clair,Probable,126,1,2020-08-08 13:32:53.887
159,St Joseph,Confirmed,512,8,2020-08-08 13:32:53.887
160,St Joseph,Probable,75,0,2020-08-08 13:32:53.887
161,Tuscola,Confirmed,310,29,2020-08-08 13:32:53.887
162,Tuscola,Probable,32,0,2020-08-08 13:32:53.887
163,Unknown,Confirmed,3,0,2020-08-08 13:32:53.887
164,Unknown,Probable,4,1,2020-08-08 13:32:53.887
165,Van Buren,Confirmed,403,8,2020-08-08 13:32:53.887
166,Van Buren,Probable,39,1,2020-08-08 13:32:53.887
167,Washtenaw,Confirmed,2200,112,2020-08-08 13:32:53.887
168,Washtenaw,Probable,322,1,2020-08-08 13:32:53.887
169,Wayne,Confirmed,13506,1202,2020-08-08 13:32:53.887
170,Wayne,Probable,717,37,2020-08-08 13:32:53.887
171,Wexford,Confirmed,59,4,2020-08-08 13:32:53.887
172,Wexford,Probable,10,0,2020-08-08 13:32:53.887
